name	start	end	brin_DNA	motif	sigma	genes
U265	370932	374531	-1	M10	SigD	tlpC, S124, nucA, nin,S122
U266	374606	375839	-1	M7	SigA	hxlA, hxlB
U267	375946	376468	1	M7	SigA	hxlR
U263	372801	376380	1	M19	SigA	S125, hxlR
U268	376667	404437	1	M7	SigA	S126, srfAA, srfAB, comS, srfAC, srfAD, ycxA
U269	403164	404437	1	M4	SigA	ycxA
U271	404513	405046	-1	M4	SigA	ycxB
U273	407373	408174	-1	M4	SigA	sfp, sfp
U274	407417	408919	-1	M16	SigA	yczE, sfp, sfp
U275	409180	411523	-1	M14	SigA	tcyA, tcyB, tcyC
U276	409268	412195	-1	M11	SigB	tcyA, tcyB, tcyC
U277	409180	412525	-1	M19	SigA	yclA,tcyA, tcyB, tcyC
U278	412533	415264	1	M19	SigA	ubiX, ubiD, bsdD, yclD
U281	416243	417761	-1	M14	SigA	dtpT
U283	416243	418277	-1	M3	SigEF	S128, dtpT
U282	417954	419731	1	M5	SigK	yclG
U284	419763	420005	-1	M8	SigGF	yczF
U285	420083	421887	1	M8	SigGF	gerKA, gerKC
U286	426537	430071	1	M4	SigA	yclJ, yclK, S129, rapC, phrC
U287	428795	430093	1	M4	SigA	rapC, phrC
U289	429873	430093	1	M1	SigH	phrC
U288	429697	430093	1	M3	SigEF	phrC
U290	430147	430501	-1	M5	SigK	yczN, yczM
U291	430631	432039	-1	M14	SigA	yclM
U293	432271	436011	1	M14	SigA	S130, yclN, yclO, yclP, yclQ
U292	432210	436011	1	M16	SigA	S130, yclN, yclO, yclP, yclQ
U294	436043	438427	-1	M14	SigA	S131, ycnC, ycnB
U296	438529	439629	-1	M19	SigA	ycnE, ycnD
U297	439686	440015	1	M4	SigA	yczG
U300	441533	441819	1	M19	SigA	gabT
U302	442914	444349	1	M19	SigA	gabD
U301	442787	444349	1	M11	SigB	gabD
U303	444417	446967	1	M8	SigGF	glcU, gdh
U305	446185	449070	-1	M19	SigA	ycnK, ycnJ, ycnI
U306	449167	449541	1	M16	SigA	ycnL
U307	449641	454769	1	M19	SigA	S132, mtlA, mtlF, mtlD, ycsA, sipU, S133
U308	452789	455715	1	M7	SigA	ycsA,sipU, S133, ycsD
U310	453994	455715	1	M14	SigA	sipU, S133, ycsD
U311	454823	455301	-1	M7	SigA	yczH
U312	455319	455715	1	M4	SigA	ycsD
U313	455791	455967	-1	M11	SigB	yczO
U314	456021	456815	1	M19	SigA	ycsE
U315	456926	463060	1	M7	SigA	S134, ycsF, ycsG, ycsI, kipI, kipA, kipR, lipC
U316	461239	463060	1	M21	Sig-	kipR, lipC
U317	462398	463060	1	M5	SigK	lipC
U318	463169	466932	1	M16	SigA	yczI, S136, pbpC, S137, ycsN
U319	463114	463820	-1	M7	SigA	yczJ, S135
U320	463903	469198	1	M16	SigA	pbpC, S137, ycsN, S138, mtlR
U321	467042	469220	1	M19	SigA	S138, mtlR
U323	469369	470848	1	M19	SigA	ydaB
U322	469275	470805	1	M11	SigB	S139, ydaB
U324	470990	471583	-1	M11	SigB	ydaC
U325	471662	474588	1	M11	SigB	ydaD, ydaE, ydaF,ydaG, S140
U326	473140	474610	1	M14	SigA	ydaF, ydaG, S140
U327	473774	474610	1	M11	SigB	ydaG, S140
U330	474698	476964	1	M9	SigWXY	ydaH, lrpC, topB
U332	475588	475918	-1	M7	SigA	ydzA
U333	476021	478724	1	M19	SigA	lrpC, topB
U334	476502	479010	1	M16	SigA	topB, S141, ydaJ
U335	478812	480242	1	M11	SigB	S141, ydaJ, ydaK
U336	486082	490538	1	M14	SigA	NA, S142, ydaO, mutT, ydaP
U337	488798	490804	1	M11	SigB	ydaP, S145
U340	489690	491077	-1	M4	SigA	ydzK, S146, S144, S143
U341	489690	492498	-1	M14	SigA	mntH, ydzK, S146, S144, S143
U343	490748	493477	-1	M11	SigB	ydaT, ydaS, S147, mntH, ydzK
U342	491166	492577	-1	M5	SigK	S147, mntH
U344	493510	494368	1	M7	SigA	ydbA
U345	494473	494918	1	M11	SigB	gsiB
U347	494982	495644	1	M4	SigA	ydbB, ydbC
U348	495434	496604	-1	M11	SigB	ydbD, S148
U350	496660	497716	-1	M19	SigA	dctB
U349	496981	498762	1	M14	SigA	S149, dctS
U351	500122	501424	1	M14	SigA	dctP
U352	501517	506286	1	M3	Sig-	ydbI, S151, ydbJ, ydbK, ydbL, S152, ydbM
U353	504658	506286	1	M19	SigA	ydbL, S152, ydbM
U354	505115	506286	1	M19	SigA	ydbM
U355	506340	506672	-1	M14	SigA	S153, ydbN
U356	506836	506990	1	M3	SigEF	ydbO
U359	507528	508109	-1	M19	SigA	ydbP, S154
U358	508090	512644	1	M15	Sig-	S156, ddl, murF, S157, S158, cshA
U357	507127	512644	1	M9	SigWXY	S155, S156, ddl, murF, S157, S158, cshA
U362	511038	512644	1	M14	SigA	S158, cshA
U361	510862	512644	1	M4	SigA	S157, S158, cshA
U360	510818	512644	1	M8	SigGF	S157, S158, cshA
U363	512756	517242	1	M9	SigWXY	S159, ydbS, ydbT, S160, S161, acpS, S162, ydcC
U365	515008	515650	-1	M4	SigA	ydcA
U366	516099	519288	1	M3	SigEF	S162, ydcC, alrA,endB, ndoA
U367	517330	524238	1	M19	SigA	alrA, endB, ndoA, rsbRA, rsbS, rsbT, rsbU, rsbV, rsbW, sigB, rsbX
U369	518591	524238	1	M16	SigA	endB, ndoA, rsbRA, rsbS, rsbT, rsbU, rsbV, rsbW, sigB, rsbX
U368	518496	524238	1	M3	SigEF	endB, ndoA, rsbRA, rsbS, rsbT, rsbU, rsbV, rsbW, sigB, rsbX
U370	519356	524238	1	M19	SigA	rsbRA, rsbS, rsbT, rsbU, rsbV, rsbW, sigB, rsbX
U374	522047	524238	1	M11	SigB	rsbV, rsbW, sigB, rsbX
U376	524788	525624	1	M4	SigA	ydcG, ydcH
U377	525697	529496	1	M4	SigA	ydcI, S167, ydcK,S168, trnS-Asn, trnS-Ser, trnS-Glu, trnS-Gln, trnS-Lys, trnS-Leu1, trnS-Leu2
U378	527912	530310	1	M4	SigA	S167, ydcK, S168, trnS-Asn, trnS-Ser, trnS-Glu, trnS-Gln, trnS-Lys, trnS-Leu1,trnS-Leu2, S169
U380	528616	530310	1	M17	SigA	S168, trnS-Asn, trnS-Ser, trnS-Glu, trnS-Gln, trnS-Lys, trnS-Leu1, trnS-Leu2, S169
U381	529352	531554	-1	M14	SigA	immR, immA, ydcL
U382	531740	545952	1	M14	SigA	sacV, ydzL, ydcO, S171, ydcP, ydcQ, ydcR,S172, ydcS, ydcT, yddA, yddB, yddC, yddD, yddE, yddF, yddG, yddH, yddI, yddJ
U383	532604	545952	1	M14	SigA	S171, ydcP, ydcQ, ydcR, S172, ydcS, ydcT, yddA, yddB, yddC, yddD, yddE, yddF, yddG, yddH, yddI, yddJ
U386	537526	545930	1	M21	Sig-	yddC, yddD, yddE, yddF, yddG, yddH, yddI,yddJ
U387	545564	545952	1	M7	SigA	yddJ
U388	545918	547029	-1	M7	SigA	yddK, S173
U390	548394	548570	1	M8	SigGF	phrI
U389	548192	549868	1	M10	SigD	phrI, yddM, S174
U392	551073	552306	1	M16	SigA	S176, lrpA, S177
U393	553661	554022	1	M16	SigA	yddR
U394	557818	559477	1	M4	SigA	ydzN, ydeA,S179, cspC
U395	559146	560269	1	M19	SigA	S179, cspC
U396	559509	560664	-1	M14	SigA	ydeB, S180
U397	561379	562523	-1	M4	SigA	ydeC
U399	564674	565901	1	M19	SigA	ydeF
